Brand,Manufacturer,Series,Colour,Item Height,Item Width,Standing screen display size,Resolution,Batteries,Item model number,Processor Brand,Processor Type,RAM Size,Memory Technology,Hard Drive Size,Hard Disk Description,Hard Disk Rotational Speed,Speaker Description,Graphics Coprocessor,Graphics Chipset Brand,Connectivity Type,Number of USB 3.0 Ports,Number of HDMI Ports,Number of Audio-out Ports,Number of Ethernet Ports,Number of Microphone Ports,Optical Drive Type,Power Source,Operating System,Average Battery Standby Life (in hours),Average Battery Life (in hours),Are Batteries Included,Lithium Battery Energy Content,Number Of Lithium Ion Cells,Included Components,Item Weight,Product Dimensions,ASIN,Customer Reviews,Best Sellers Rank,Processor Speed,Processor Count,Computer Memory Type,Hard Drive Interface,Graphics Card Ram Size,Number of USB 2.0 Ports,Hardware Platform,Lithium Battery Weight,Model,Model Name,Memory Storage Capacity,Ram Memory Installed Size,Ram Memory Technology,Mounting Hardware,Software Included,Batteries Included,Batteries Required,Total Usb Ports,Connector Type,Device interface - primary,Graphics Card Description,Flash Memory Installed Size,Processor Model Number,Special Features,Form Factor,Device Type,Maximum Memory Supported,Graphics Card Interface,Wireless Type,Number of Lithium Metal Cells,Memory Clock Speed,Number of VGA Ports,Voltage,Wattage,Battery Description,Package Dimensions
Dell,Dell Computers,Inspiron,Silver,20 Millimeters,31 Centimeters,13.3 Inches,1920x1080,1 Lithium ion batteries required. (included),5390,Intel,Core i5,8 GB,DDR4,512 GB,Flash Memory Solid State,5400 RPM,Waves MaxxAudio,Intel HD,Intel,Wi-Fi,2,1,1,1,1,None,Battery Powered,Windows 10,6 Hours,6 Hours,Yes,42 Watt Hours,3,"Laptop, Battery, AC Adapter, User Guide, Manuals, Stylus",1.24 kg,21 x 31 x 2 cm,B089QQLWKK,"7 ratings
3.2 out of 5 stars",5 June 2020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dell,Dell Computers,Inspiron,Silver,20 Millimeters,35.8 Centimeters,15.6 Inches,1920 x 1080 (Full HD),1 Lithium Polymer batteries required. (included),N7580,Intel,Core i5,8 GB,DDR4,1024 GB,Hybrid Drive,5400 RPM,MaxxAudio,NVIDIA GeForce MX150,NVIDIA,-1,2,1,1,-1,-1,-1,-1,Windows 10,-1,-1,Yes,42 Watt Hours,1,"Laptop, Battery, AC Adapter, User Guide, Manuals",2 kg,24.7 x 35.8 x 2 cm,B07NVLTNYJ,"3 ratings
3.4 out of 5 stars",18 February 2019,1.6 GHz,1,DDR4 SDRAM,ESATA,2 GB,1,Windows,0.85 Grams,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dell,Dell Computers,Inspiron,Platinum Silver,25 Millimeters,36.4 Centimeters,15.6 Inches,1920x1080,1 Lithium ion batteries required. (included),5593,Intel,Core i5,8 GB,DDR4,512 GB,Flash Memory Solid State,-1,Waves MaxxAudio Pro,NVIDIA MX230 GDDR5,NVIDIA,802.11ac ,2,1,1,1,1,None,Battery Powered,Windows 10 Home Plus,6 Hours,6 Hours,Yes,42 Watt Hours,3,"Laptop, Battery, AC Adapter, User Guide, Manuals",1.93 kg,19.9 x 36.4 x 2.5 cm,B07ZG4S921,"18 ratings
4.1 out of 5 stars",22 October 2019,-1,-1,-1,-1,2 GB,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dell,Dell Computers,-1,-1,-1,-1,13.3 Inches,-1,1 Lithium Polymer batteries required. (included),Inspiron 5370,Intel,Core i7,8 GB,-1,256 GB,Mechanical hard drive,-1,-1,AMD Radeon Graphics 530,-1,-1,-1,-1,-1,-1,-1,-1,-1,Windows 10 Home,-1,-1,-1,-1,-1,-1,1.4 kg,21.9 x 32.3 x 1.5 cm,B07B2W7DCB,"273 ratings
3.7 out of 5 stars",26 February 2018,-1,-1,-1,-1,2 GB,-1,-1,-1,Inspiron 5370,Inspiron,256 GB,8 GB,DDR4,"Laptop, Battery, AC Adapter, User Guide, Manuals",Microsoft Office 365,Yes,Yes,2,Wired,Keyboard,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dell,Dell Computers,Inspiron,Silver,15 Millimeters,31 Centimeters,13.3 Inches,1920 x 1080 (Full HD),1 Lithium Polymer batteries required. (included),N7380,Intel,Core i5,8 GB,DDR4,512 GB,Flash Memory Solid State,-1,MaxxAudio,Integrated Graphics,-1,-1,2,1,1,-1,-1,-1,-1,Windows 10,-1,-1,Yes,45 Watt Hours,1,"Laptop, Battery, AC Adapter, User Guide, Manuals",1.33 kg,21.6 x 31 x 1.5 cm,B07NVKXTP9,"5 ratings
2.9 out of 5 stars",18 February 2019,1.6 GHz,-1,-1,-1,-1,-1,-1,0.85 Grams,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Integrated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dell,Dell Computers,Inspiron,Silver,20 Millimeters,35.8 Centimeters,15.6 Inches,1920 x 1080 (Full HD),1 Lithium Polymer batteries required. (included),N7580,Intel,Core i5,8 GB,DDR4,1024 GB,Hybrid Drive,5400 RPM,MaxxAudio,NVIDIA GeForce MX150,NVIDIA,-1,2,1,1,-1,-1,-1,-1,Windows 10,-1,-1,Yes,42 Watt Hours,1,"Laptop, Battery, AC Adapter, User Guide, Manuals",2 kg,24.7 x 35.8 x 2 cm,B07NVLTNYJ,"3 ratings
3.4 out of 5 stars",18 February 2019,1.6 GHz,1,DDR4 SDRAM,ESATA,2 GB,1,Windows,0.85 Grams,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dell,Dell Computers,Inspiron,Platinum Silver,23 Millimeters,38 Centimeters,15.6 Inches,1920x1080,1 Lithium Polymer batteries required. (included),3593,Intel,Core i5,8 GB,DDR4,1 TB,Hybrid Drive,5400 RPM,Waves MaxxAudio Pro,NVIDIA MX 230,NVIDIA,Wi-Fi,2,1,1,1,1,None,Battery Powered,Windows 10 Home,6 Hours,6 Hours,Yes,45 Watt Hours,3,"Laptop, Battery, AC Adapter, User Guide, Manuals",2.2 kg,25.8 x 38 x 2.3 cm,B07ZG5W9QN,"48 ratings
3.7 out of 5 stars",22 October 2019,-1,-1,-1,-1,2 GB,1,-1,0.85 Grams,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dell,Dell Computers,-1,-1,-1,-1,13.3 Inches,-1,1 Lithium Polymer batteries required. (included),Inspiron 7373 2-in-1,Intel,Core i5,8 GB,-1,256 GB,Solid State drive,-1,-1,Intel UHD Graphics 620,-1,-1,-1,-1,-1,-1,-1,-1,-1,Windows 10,-1,-1,-1,-1,-1,-1,1.63 kg,21.6 x 31 x 1.6 cm,B076P8RYC3,"52 ratings
3.1 out of 5 stars",23 October 2017,1.6 GHz,-1,-1,-1,-1,-1,Windows 10,-1,Inspiron 7373 2-in-1,-1,256 GB,8 GB,DDR4,"Laptop, Battery, AC Adapter, User Guide and Manuals",Microsoft Office 365,Yes,Yes,2,Wireless,-1,Integrated,256 GB,Core i5-8250U,Touchscreen,Convertible 2 in 1,Convertible 2 in 1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dell,Dell Computers,-1,-1,-1,-1,15.6 Inches,-1,1 Lithium Polymer batteries required. (included),Inspiron 7570,Intel,Core i5,8 GB,-1,1024 GB,Mechanical hard drive,-1,-1,NVIDIA GeForce 940MX,-1,-1,-1,-1,-1,-1,-1,-1,-1,Windows 10 Home,-1,-1,-1,-1,-1,-1,2.1 kg,24.4 x 36.1 x 1.8 cm,B07B2X7C5C,"39 ratings
3.2 out of 5 stars",26 February 2018,-1,-1,-1,-1,4 GB,-1,-1,-1,Inspiron 7570,Inspiron,1 TB,8 GB,DDR4,"Laptop, Battery, AC Adapter, User Guide, Manuals",Microsoft Office 365,Yes,Yes,3,Wired,Keyboard,-1,128 Unknown modifier,-1,-1,-1,-1,8 GB,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dell,Dell Computers,Inspiron,Silver,15 Millimeters,31 Centimeters,13.3 Inches,1920 x 1080 (Full HD),-1,N7380,Intel,Core i7,16 GB,DDR4,512 GB,Flash Memory Solid State,-1,MaxxAudio,Integrated Graphics,-1,-1,2,1,1,-1,-1,-1,-1,Windows 10,-1,-1,Yes,42 Watt Hours,1,"Laptop, Battery, AC Adapter, User Guide, Manuals",1.33 kg,21.6 x 31 x 1.5 cm,B07NVMLD6R,"6 ratings
3.3 out of 5 stars",18 February 2019,1.8 GHz,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Integrated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
